"playerID","yearID","stint","teamID","lgID","G.x","AB.x","R.x","H.x","X2B.x","X3B.x","HR.x","RBI.x","SB.x","CS.x","BB.x","SO.x","IBB.x","HBP.x","SH.x","SF.x","GIDP.x","P_RC2002","P_OPS"
1230,1958,1,93,1,81,232,34,59,8,4,3,32,1,2,23,21,2,1,2,4,7,0.135658119658119,0.397
1256,1958,1,93,1,150,519,127,158,21,1,42,97,18,3,129,120,13,2,2,2,11,6.186,1.003
1291,1958,1,80,0,149,546,97,137,18,1,31,77,5,0,85,85,5,2,8,8,9,2.37872688172043,0.563
1331,1958,1,93,1,138,503,69,126,19,1,14,65,6,2,59,75,1,3,7,6,15,5.96022222222222,0.974
1556,1958,1,80,0,95,164,17,39,7,1,3,23,0,0,15,17,3,2,2,2,3,1.4046,0.744
1728,1958,1,93,1,73,182,18,45,6,2,0,14,1,3,8,5,0,0,3,2,1,-0.5,0
1799,1958,1,80,0,28,45,2,9,1,0,0,1,0,0,3,14,0,0,3,1,1,-0.221333333333333,0
1854,1958,1,80,0,106,427,47,112,23,1,1,24,3,1,31,21,0,1,5,1,8,4.65010909090909,0.81
1894,1958,1,93,1,134,460,79,138,19,5,14,55,5,8,66,87,3,1,4,2,7,0.859757575757575,0.489
1909,1958,1,93,1,126,465,61,127,22,3,14,73,1,1,28,69,1,4,1,5,16,3.99669841269841,0.767
1911,1958,1,93,1,77,138,21,42,4,1,4,19,2,0,21,16,0,0,1,0,3,0.0069444444444442,0.25
1943,1958,1,80,0,41,108,10,36,6,1,2,15,0,0,7,24,0,2,4,1,0,1.57896296296296,0.667
2050,1958,1,93,1,60,150,30,34,5,2,7,19,1,1,19,40,0,1,1,1,2,-0.110666666666667,0
2064,1958,1,80,0,138,372,41,115,22,5,6,55,2,0,42,14,7,7,5,4,14,1.08647777777778,0.44
2087,1958,1,93,1,33,88,8,12,0,0,2,6,0,0,4,35,0,0,6,0,2,0.218718518518517,0.4
2217,1958,1,80,0,31,71,8,14,1,0,0,0,1,1,4,8,0,0,1,0,3,-0.110666666666667,0
52,1959,1,33,1,152,612,98,157,18,5,6,51,56,13,53,40,1,3,11,7,11,3.67885977011494,0.703
337,1959,1,33,1,58,104,16,25,0,1,4,16,1,1,18,9,3,5,1,2,0,-0.421333333333334,0
436,1959,1,72,0,29,52,1,3,0,0,0,3,0,0,1,28,0,0,4,0,0,-0.290133333333333,0
503,1959,1,72,0,139,371,55,95,11,1,18,70,5,6,16,87,1,6,3,5,7,0.479008547008547,0.558
534,1959,1,33,1,31,61,4,8,4,0,1,5,0,0,5,32,0,0,3,0,1,0.400814814814814,0.667
549,1959,1,72,0,46,91,9,15,1,1,4,12,0,1,4,31,0,0,8,1,2,-0.221333333333333,0
593,1959,1,33,1,69,66,12,11,1,0,1,5,0,1,11,16,1,0,3,1,1,-0.210666666666667,0
595,1959,2,72,0,24,46,6,14,6,0,1,5,0,0,4,11,1,0,0,0,1,3.2985,3.417
608,1959,1,72,0,118,244,27,58,12,1,4,23,0,4,31,29,2,1,6,2,3,-0.310666666666667,0
652,1959,1,33,1,156,624,84,191,34,6,2,70,5,6,71,13,8,7,9,5,6,5.50257142857143,0.964
678,1959,1,72,0,50,93,8,27,4,0,0,13,0,0,7,11,2,0,1,2,5,0.289611111111111,0.5
731,1959,1,72,0,145,553,91,156,18,4,3,34,23,10,96,25,4,0,3,3,3,2.6581695473251,0.536
762,1959,1,33,1,104,268,21,67,14,1,1,28,3,0,19,20,0,2,2,0,4,1.0792380952381,0.516
921,1959,1,72,0,124,413,57,114,19,2,25,80,3,2,58,92,6,3,3,3,13,5.84998148148147,1.025
1097,1959,2,33,1,31,101,11,30,2,1,2,10,0,1,9,10,3,0,1,1,4,6.78488888888889,1.266
1109,1959,1,72,0,35,54,3,6,3,0,0,0,0,0,2,29,0,0,2,0,0,-0.210666666666667,0
1136,1959,1,33,1,149,515,78,140,26,7,5,60,20,9,78,68,5,8,13,9,5,3.31153333333333,0.638
1144,1959,1,72,0,108,311,37,90,14,1,8,49,0,1,26,25,1,2,8,4,12,1.11927160493827,0.465
1206,1959,1,33,1,140,505,63,134,22,3,22,84,4,3,55,49,6,9,2,5,27,1.61179259259259,0.614
1318,1959,1,33,1,67,210,22,58,9,3,0,27,2,1,19,26,4,1,1,0,2,-0.183962962962965,0.167
1406,1959,1,72,0,145,543,93,164,26,11,19,74,15,6,81,64,1,3,8,2,9,3.48264888888889,0.711
1473,1959,1,72,0,151,616,103,177,30,11,19,83,17,6,43,86,2,4,21,1,22,6.0072,1.037
1622,1959,1,33,1,117,379,43,100,27,1,5,40,1,1,27,28,7,4,4,1,8,0.877111111111111,0.7
1640,1959,1,72,0,34,65,4,16,1,0,0,4,0,0,6,13,0,0,3,1,1,1.214,1.25
1739,1959,1,33,1,80,177,18,39,9,4,4,19,5,3,11,19,3,1,0,3,1,-0.498825396825396,0.214
1779,1959,1,33,1,53,126,20,37,5,1,5,25,0,1,23,18,0,1,3,0,3,-0.1,0
1786,1959,1,72,0,118,397,39,92,14,7,10,38,7,5,52,69,11,3,5,4,7,-0.692711111111112,0.19
1880,1959,1,33,1,47,73,7,9,1,0,0,2,0,0,5,19,0,0,10,0,2,0.347622222222221,0.5
1887,1959,1,72,0,23,32,3,7,0,0,2,5,0,0,1,6,0,0,1,0,0,1.08506666666667,1
1914,1959,1,33,1,129,472,65,112,16,4,17,55,7,5,46,74,3,5,5,1,10,2.49639814814814,0.775
1927,1959,1,72,0,126,370,59,114,11,2,23,88,1,5,58,71,13,0,5,2,8,1.82192592592592,0.833
1960,1959,1,33,1,67,13,2,2,0,0,0,0,0,0,3,5,0,0,4,0,0,0.213888888888889,0.5
2062,1959,1,33,1,127,277,40,61,5,3,9,45,7,6,62,55,1,0,1,4,7,0.226777777777778,0.5
2203,1959,1,72,0,83,242,27,63,5,2,0,7,7,3,13,27,5,0,3,0,3,1.61647777777778,0.5
2239,1959,1,33,1,37,90,11,22,7,0,2,8,0,0,9,18,0,1,2,1,1,0.298444444444445,0.6
2260,1959,1,72,0,97,249,21,41,7,1,4,28,3,1,37,56,7,1,4,1,8,-0.1,0
60,1960,1,93,1,29,5,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,-0.1,0
85,1960,1,106,0,33,37,5,9,0,0,0,4,0,0,2,9,0,0,0,1,1,-0.310666666666667,0
151,1960,1,93,1,120,359,46,99,14,1,15,62,2,1,38,23,6,3,0,4,11,3.85340740740741,0.83
175,1960,1,93,1,53,99,8,24,3,1,4,14,0,0,6,17,1,1,1,0,2,2.82810101010101,1.091
214,1960,1,93,1,124,393,54,95,20,1,14,46,2,3,23,85,1,3,7,5,7,1.28044444444444,0.833
271,1960,1,106,0,110,337,33,99,15,2,7,39,0,1,35,13,12,0,0,4,6,3.30488888888889,0.789
352,1960,2,93,1,87,216,32,54,11,1,8,28,0,0,30,36,2,3,0,0,6,2.1445873015873,0.714
374,1960,1,106,0,101,307,36,82,14,4,0,28,1,0,32,43,3,1,3,2,9,2.14780808080808,0.568
385,1960,1,106,0,144,570,89,179,22,6,16,94,4,5,39,72,4,2,4,5,21,3.06392337164751,0.621
392,1960,1,93,1,35,48,10,12,4,0,0,6,0,0,2,20,0,1,8,0,0,-0.110666666666667,0
502,1960,1,93,1,49,35,8,8,1,0,0,2,0,0,0,9,0,0,0,0,0,0.523222222222222,1
607,1960,1,106,0,68,17,3,7,1,0,0,0,0,0,0,4,0,0,2,0,0,-0.321333333333334,0
644,1960,1,93,1,33,53,4,8,2,0,0,3,0,0,9,14,0,0,4,0,0,0.6151012345679,0.5
670,1960,1,106,0,38,88,5,6,1,0,0,3,0,0,6,31,0,0,11,0,3,-0.1,0
777,1960,1,106,0,45,8,3,3,0,0,2,2,0,0,1,4,0,0,0,0,0,-0.1,0
798,1960,1,106,0,138,573,85,186,26,4,2,50,0,2,39,35,0,4,12,1,7,1.25614285714286,0.5
824,1960,1,106,0,29,67,7,17,4,0,0,7,0,0,3,15,0,0,0,1,1,0.0226666666666664,0.667
919,1960,1,106,0,155,553,97,156,24,9,16,79,3,2,74,74,9,1,4,4,17,2.07098765432098,0.638
942,1960,1,93,1,107,323,29,79,11,3,6,39,3,0,28,43,7,0,2,8,8,5.27659259259259,1.456
1114,1960,1,93,1,147,568,77,155,25,3,14,62,3,0,31,42,5,3,12,4,13,4.8270303030303,0.761
1157,1960,1,106,0,35,94,10,17,5,2,1,7,0,0,2,19,0,0,7,1,1,0.95081111111111,0.929
1212,1960,2,93,1,26,41,6,15,3,1,3,10,0,0,5,6,1,0,0,0,2,0.412962962962963,0.667
1218,1960,1,93,1,131,408,66,116,14,6,9,42,1,1,46,64,0,4,9,2,7,0.692857142857143,0.857
1256,1960,1,93,1,153,527,119,145,17,6,40,94,14,3,111,125,6,1,0,5,11,9.41485521885522,1.345
1263,1960,1,93,1,136,499,98,141,18,7,39,112,2,2,70,65,4,3,1,5,6,4.90130555555555,0.812
1316,1960,1,106,0,151,538,58,147,21,5,11,64,4,0,40,50,15,1,4,8,9,4.13889230769231,0.96
1331,1960,1,93,1,119,337,54,87,16,4,8,34,2,4,38,45,0,3,7,2,4,2.51805555555556,0.683
1476,1960,1,106,0,93,200,34,60,11,1,7,35,1,2,24,15,5,5,1,4,2,2.34933333333333,1.067
1728,1960,1,93,1,150,460,45,116,12,3,1,26,6,6,35,19,6,0,9,3,7,7.37225806451612,1.054
1855,1960,1,106,0,65,102,9,34,4,1,0,10,0,1,16,20,4,1,2,0,1,0.762888888888889,0.833
1878,1960,1,93,1,43,10,1,1,0,0,0,0,0,0,1,2,0,0,2,0,0,0.412962962962963,0.667
1908,1960,1,106,0,145,571,83,156,33,6,15,86,11,8,59,86,11,1,5,4,13,1.06765,0.629
1909,1960,1,93,1,146,538,63,166,34,3,26,91,2,3,38,95,2,2,0,6,17,6.77238518518518,0.989
1918,1960,1,106,0,77,258,37,76,18,2,11,45,1,1,22,48,0,2,1,3,6,1.28119444444444,1.125
1957,1960,1,93,1,12,22,0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,-0.110666666666667,0
